Tempo_Decorrido_S,System_Total_CPU_Percent,System_Used_Memory_GB
273.87,5.7,5.98
274.37,1.3,5.98
274.87,3.0,5.98
275.37,9.2,5.99
275.87,6.8,5.99
276.37,15.8,5.99
276.87,17.1,6.01
277.37,14.5,6.01
277.88,10.0,6.01
278.38,1.0,5.98
278.88,6.2,5.98
279.38,5.5,5.98
279.88,6.3,5.98
280.38,4.0,5.98
280.88,1.5,5.98
281.38,0.7,5.98
281.88,6.0,5.98
282.38,3.0,5.98
282.88,1.2,5.98
283.38,0.0,5.98
283.88,4.5,5.97
284.39,8.1,5.96
284.89,6.5,5.96
285.39,2.5,5.96
285.89,7.8,5.96
286.39,9.5,5.97
286.89,5.8,5.96
287.39,3.3,5.96
287.89,14.7,5.97
288.39,11.5,5.97
288.89,1.5,5.97
289.39,16.5,6.01
289.89,15.8,6.02
290.39,5.3,6.02
290.89,4.0,6.02
291.4,2.0,6.02
291.9,14.2,6.02
292.4,11.8,6.02
292.9,14.9,6.05
293.4,14.0,6.05
293.9,6.5,6.06
294.4,2.5,6.05
294.9,1.0,6.05
295.4,9.0,6.04
295.9,11.8,6.04
296.4,10.6,6.04
296.9,14.8,6.05
297.4,14.0,6.06
297.9,7.0,6.06
298.4,11.0,6.06
298.9,33.2,5.9
299.4,4.3,5.9
299.91,3.3,5.9
300.41,3.3,5.77
300.91,4.7,5.77
301.41,8.6,5.77
301.91,14.0,5.79
302.41,8.6,5.79
302.91,5.0,5.8
303.41,7.5,5.79
303.91,12.1,5.79
304.41,3.5,5.79
304.91,16.6,5.8
305.41,9.8,5.82
305.91,14.3,5.82
306.41,10.3,5.81
306.91,12.3,5.8
307.41,5.5,5.82
307.92,13.5,5.81
308.42,9.2,5.81
308.92,12.8,5.81
309.42,12.8,5.81
309.92,7.8,5.81
310.42,13.5,5.82
310.92,6.3,5.81
311.42,3.0,5.81
311.92,8.0,5.79
312.42,34.6,5.79
312.92,8.0,5.79
313.42,14.7,5.79
313.92,6.0,5.79
314.42,6.5,5.8
314.92,4.5,5.79
315.42,4.0,5.79
315.93,10.2,5.79
316.43,7.5,5.79
316.93,2.2,5.8
317.43,5.8,5.79
317.93,2.7,5.79
318.43,3.5,5.79
318.93,5.8,5.79
319.43,13.7,5.81
319.93,15.4,5.83
320.43,10.5,5.83
320.93,5.0,5.83
321.43,8.0,5.83
321.93,13.1,5.83
322.43,7.3,5.82
322.93,13.0,5.82
323.44,29.0,5.85
323.94,31.9,5.86
324.44,11.1,5.86
324.94,13.9,5.85
325.44,13.3,5.81
325.94,12.7,5.81
326.44,5.5,5.81
326.94,3.0,5.81
327.44,15.3,5.83
327.94,22.1,5.85
328.44,16.5,5.85
328.94,16.5,5.87
329.44,13.1,5.86
329.94,3.8,5.87
330.44,0.5,5.87
330.94,4.3,5.86
331.45,7.5,5.85
331.95,4.0,5.87
332.45,15.7,5.89
332.95,29.5,5.89
333.45,5.3,5.88
333.95,4.3,5.88
334.45,1.7,5.84
334.95,14.5,5.85
335.45,15.6,5.85
335.95,4.0,5.86
336.45,1.0,5.85
336.95,1.7,5.84
337.45,0.2,5.84
337.95,10.5,5.84
338.46,4.8,5.84
338.96,3.0,5.84
339.46,11.0,5.84
339.96,9.6,5.84
340.46,14.2,5.85
340.96,14.8,5.85
341.46,5.6,5.85
341.96,5.0,5.83
342.46,6.8,5.83
342.96,8.3,5.83
343.46,3.5,5.82
343.96,6.5,5.82
344.46,2.0,5.82
344.96,16.3,5.82
345.46,12.3,5.82
345.96,7.8,5.82
346.47,9.0,5.82
346.97,15.5,5.82
347.47,31.4,5.82
347.97,13.5,5.83
348.47,16.3,5.84
348.97,10.3,5.84
349.47,5.8,5.84
349.97,3.5,5.84
350.47,3.7,5.84
350.97,4.5,5.83
351.47,2.5,5.84
351.97,5.8,5.84
352.47,13.5,5.85
352.97,13.5,5.84
353.47,5.8,5.84
353.98,2.5,5.84
354.48,4.2,5.84
354.98,5.8,5.84
355.48,3.5,5.84
355.98,2.8,5.84
356.48,2.3,5.84
356.98,5.0,5.85
357.48,8.0,5.85
357.98,6.5,5.85
358.48,14.6,5.85
358.98,9.5,5.85
359.48,10.1,5.85
359.98,3.7,5.85
360.49,6.8,5.85
360.99,6.2,5.85
361.49,3.3,5.84
361.99,18.3,5.84
362.49,7.8,5.84
362.99,15.6,5.87
363.49,14.7,5.89
363.99,5.8,5.88
364.49,3.7,5.89
364.99,14.1,5.89
365.49,8.5,5.89
